# "A Modern Mean Dwarf Stellar Color and Effective Temperature Sequence"
# http://www.pas.rochester.edu/~emamajek/EEM_dwarf_UBVIJHK_colors_Teff.txt
# Eric Mamajek
# Version 2022.04.16
#
# Much of the original content of this table was incorporated into
# Table 5 of Pecaut & Mamajek (2013, ApJS, 208, 9;
# http://adsabs.harvard.edu/abs/2013ApJS..208....9P), so that
# reference should be cited until an updated version of the table is
# published.  Parts of this table for A/F/G stars also appeared in
# Table 3 of Pecaut, Mamajek, & Bubar (2012, ApJ 756, 154).  For
# example, Table 5 of Pecaut & Mamajek did not include the absolute
# magnitude and luminosity estimates, nor the properties of dwarfs of
# types L, T, Y, or O3-O8.
# The author's notes on standard stars and mean parameters for stars
# for each dwarf spectral type can be found in the directory at:
# http://www.pas.rochester.edu/~emamajek/spt/. See further notes and
# caveats after the table. Colors are based on Johnson UBV, Tycho
# BtVt, Cousins RcIc, Gaia DR2 G/Bp/Rp, Sloan izY, 2MASS JHKs,
# MKO JK (for Y dwarfs), WISE W1/W2/W3/W4 photometry.
# G-V color is Gaia DR2 G - Johnson V.
#
#SpT   Teff  logT   BCv    logL   Mbol R_Rsun   Mv    B-V    Bt-Vt  G-V    Bp-Rp  G-Rp   M_G    b-y    U-B    V-Rc   V-Ic   V-Ks   J-H    H-Ks   M_J    M_Ks   Ks-W1   W1-W2  W1-W3  W1-W4   g-r   i-z  z-Y  Msun  #SpT  
O3V    44900 4.652 -4.01   5.82  -9.81 13.43   -5.80 -0.330  ...    ...    ...    ...    ...    ..... -1.175  ...    .....  .....  .....  .....  ....   ....   ...     ...    ...    ...     ...   ...  ...  59    O3V   
2018.12.10: preliminary G-V colors added based on median colors of
spectral standards from K0V to L0V (with the M7-L0 sequence smoothed),
and from the fits for (G-V) as functions of (B-V), (V-Rc), and (V-Ic)
from Evans+2018 (where I've plugged in current best estimates for
those colors as functions of spectral type into the Evans+2018
polynomials and taken the average G-V). I need to look at this trend a
bit more closely for AFG stars.

2019.03.01: added Bp-Rp colors for late K and M dwarfs based on
GaiaDR2 colors for standard and stars within 10 pc with vetted
spectral types.  Absolute G magnitudes (M_G) and G-Rp colors on Gaia
DR2 system for L dwarfs come from Smart+2019
(https://arxiv.org/abs/1902.07571).

2019.03.22: added Gaia DR2 Bp-Rp, G-Rp colors for B9 through late K
dwarfs, and included absolute G magnitude (M_G) for types where V-G
colors were determinable. Based on d<60pc dwarf stars between B9V and
late K in SIMBAD - the majority of which now have either Gaia DR2
parallaxes now, or revised Hipparcos parallaxes (for the bright ones).

2019.09.24: Reviewed and updated Teffs for OBAFGKM stars. Updated BCv
values for FGK dwarfs to put them on system where BCv=-0.085 for
Teff=5772K(Sun) - adopting this value based on estimates from
Casagrande+2018 once their values are placed on IAU2015 bolometric
magnitude system (they adopt a slightly different Mbol(Sun) and Lsun
than IAU values). Reviewed Teff, Mv, Mbol, logL, Rad values and made
some minor updates. Removed 0.5-subtype K dwarf entries (will review
these and reassess whether these are worth including again).

2019.10.18: For OB dwarfs, updated Teff, BCv, logL, Mbol, Rad.
2019.11.03: For M dwarfs, updated Teff, logL, Mv, Rad, Mass.

2020.02.07: For O3-B1 dwarfs, made minor shifts to U-B, B-V color
sequences, Mv, HRD parameters (Mbol, logL, Teff, BCv, Rad).

2020.04.02: Vetted and updated some masses for O through early L.  A
good fit of log(Mass/Msun) for main sequence (V) stars as function of
Mv between O7V and L2V for absolute magnitudes 20.9 < Mv < -4.8 is:
a0 =  5.3132790322903922e-001
a1 = -1.5853156020421624e-001
a2 =  8.7346091280499586e-003
a3 =  8.3698240396409276e-004
a4 = -6.6566352189549794e-005
a5 = -1.5435681229533762e-005
a6 =  1.7714870318666100e-006
a7 = -6.3188987403139114e-008
a8 =  7.3812559571593096e-010
log(M/Msun) = a0 + a1*Mv + a2*Mv^2 + a3*Mv^3 + a4*Mv^4 + a5*Mv^5 + a6*Mv^6 + a7*Mv^7 + a8*Mv^8

2020.07.05: Minor shifts to HRD positions for B3V and B4V. Minor changes to B-V, Rad for M dwarfs.

2020.08.06: Have done a full vetting of the Teff, Mv, V-Ks, J-H, and
H-K values from O3 through L9 from the most recent estimates from the
spectral type data files in directory
http://www.pas.rochester.edu/~emamajek/spt/, and incorporated them
into this table. g-r colors were added based on a mix of values from 1) Covey+2007,
2) g-r values calculated from B-V colors using Bilir+2005 transformation, and
3) g-r values calculated from R-I colors using Jordi+2006 transformation.

2020.11.18: Have done a complete scrubbing of the adopted Gaia colors
(Bp-Rp) and (G-Rp) for M dwarfs via comparison to colors for nearby
dwarf standards and exemplars. (Bp-Rp) colors show a peak around M8.5V.

2020.12.05: W1-W2 colors for T6V-Y4V adopted from polynomial trend of
Kirkpatrick19.  WISE J1828+2650 was assigned Y2V and WISE J0855-0714
assigned Y4V following Kirkpatrick20. Properties of late Ts and Ys
draws heavily from Kirkpatrick19 and Kirkpatrick20.

2021.03.02: Minor shifts to Mv, M_G, logL, Rad in K5V-M0V range.

2022.04.08: Updated G-V colors for B1.5V-B9.5V stars based on fitting
low reddening (E(B-V)<0.03) B dwarfs from Hipparcos catalog with plx >
3 mas from Kervella+2019 catalog. For 627 B dwarfs with -0.79 < (V-Ks)
< 0.10, I fit: (G-V) = 1.5662975867923815e-2 -
4.5474915703530211e-2*(V-Ks) - 2.0632426850689073e-1*(V-Ks)^2 -
1.0690949761461190e-1*(V-Ks)^3 (rms = 0.0148 mag).

2022.04.16: Updated O dwarf masses. 

# Please email me if you use the table in your research and/or have
# any questions. - EEM
